GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoP_per,TP_per,blk_per,stl_per,ftr,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,treb,ast,stl,blk,pts,posicion,ronda,altura_cm,rango_pick
9,17.6,116.5,30.4,61.0,63.18,9.7,29.0,9.5,13.5,0.757,0.57,0.52,12.9,1.8,28.0,0.5,0.7222,0.4151,85.3312,68.8772,10.5008,3.0689,7.43187,12.2756,29.8889,8.26764,4.00801,9.7778,1.0,0.8889,2.7778,21.0,PF/C,R2,218.4,41-50
37,84.7,112.3,22.4,52.5,57.45,4.8,18.1,12.7,17.0,0.769,0.541,0.339,2.6,2.5,44.0,1.05063003,0.6496,0.3286,95.4954,257.355,8.02626,5.01541,3.01084,7.56367,34.2432,5.27745,2.28623,6.7297,2.2432,1.3784,0.8378,14.7568,Wing G,R1,190.5,1-10
35,65.7,104.3,23.4,53.5,53.29,11.9,23.5,12.2,17.1,0.49,0.535,0.0,6.3,2.5,30.6,0.88058303,0.75,0.3352,90.3602,242.321,8.87752,2.39359,6.48393,7.6927,30.1429,4.04179,3.65091,9.0857,1.6857,1.2,1.6571,11.8571,PF/C,R2,198.1,51-60
25,75.9,96.4,21.4,40.7,44.72,4.7,11.1,11.3,12.5,0.785,0.384,0.3,0.5,2.5,22.4,1.13888883,0.5,0.2885,100.904,137.55,2.94344,1.98327,0.96017,2.14957,30.68,0.781566,1.368,4.48,1.64,1.32,0.16,11.48,Wing G,R2,200.7,51-60
37,70.2,134.3,24.0,69.3,69.89,13.9,19.7,12.1,12.7,0.694,0.705,0.267,10.8,2.3,42.0,1.21058094,0.7967,0.5169,83.897,276.59,16.5977,7.78475,8.81298,15.3523,28.0811,9.47452,5.87777,8.5676,1.8649,1.1622,3.0,16.9459,C,R1,203.2,21-30
36,85.9,112.1,24.6,52.5,55.25,6.1,15.4,11.3,13.7,0.682,0.464,0.41,3.6,1.9,35.1,0.98610002,0.5897,0.3779,103.403,237.974,6.30806,4.07465,2.23341,6.79962,34.6111,5.53645,1.26317,6.7778,1.9722,1.1111,1.3611,17.3333,Stretch 4,R1,205.7,1-10
38,89.4,107.8,26.7,50.8,55.28,2.2,10.2,23.4,19.8,0.795,0.461,0.377,0.6,1.1,33.3,1.32499436,0.5556,0.3939,100.305,204.602,4.48048,4.60756,-0.127072,4.58458,35.8684,4.36431,0.220269,4.0263,4.1842,0.6579,0.2105,17.2895,Combo G,R1,190.5,1-10
40,70.1,126.8,24.5,61.4,64.89,11.7,28.5,9.7,14.5,0.783,0.614,0.0,5.5,2.2,42.3,0.82857146,0.8211,0.4531,91.501,291.058,11.3057,6.11101,5.19471,11.905,28.025,8.30994,3.5951,10.4,1.45,1.075,1.475,16.95,C,R1,208.3,21-30
33,79.5,111.5,21.5,51.5,55.94,5.6,15.3,20.7,18.2,0.744,0.513,0.347,1.9,2.9,41.4,1.58208156,0.625,0.2075,96.8412,203.422,8.428,4.16616,4.26184,7.66906,31.9091,3.79755,3.87151,5.6364,3.2121,1.4848,0.5455,11.8485,Wing G,R2,195.6,41-50
19,49.6,100.5,22.1,45.7,48.81,4.6,20.0,21.3,17.9,0.629,0.484,0.267,2.5,2.3,37.2,1.76740894,0.5393,0.359,96.6113,132.763,6.08811,1.98011,4.108,4.37885,33.6842,1.45389,2.92496,7.1053,4.0,1.3158,0.7895,11.3684,Wing G,R2,195.6,41-50
34,74.9,114.7,23.8,61.2,65.28,12.0,27.5,14.5,23.5,0.779,0.618,0.3,7.0,1.3,50.9,0.71579398,0.7126,0.4554,91.1087,245.934,9.88285,3.09585,6.78701,9.01872,29.9706,4.42937,4.58935,10.6471,2.0,0.6471,1.8824,13.5882,C,R2,208.3,31-40
37,87.6,121.5,28.4,62.3,66.45,4.0,13.0,12.7,17.1,0.88,0.552,0.457,1.4,1.8,33.3,0.66369796,0.6685,0.3465,100.663,240.576,8.86581,7.83954,1.02627,11.852,35.3784,10.2417,1.61038,5.7297,2.027,1.1351,0.4865,25.0,Wing G,R1,193.0,1-10
